,city_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date
439,karratha,-20.74,116.85,79.45,41,0,5.73,AU,1588727187
440,kargasok,59.06,80.86,43.59,90,100,10.58,RU,1588727187
441,muyuka,4.29,9.41,82.4,88,40,3.36,CM,1588727188
442,mayor pablo lagerenza,-19.93,-60.77,72.01,95,100,5.48,PY,1588727188
443,leh,34.17,77.58,35.15,73,23,3.38,IN,1588727188
444,mamit,23.93,92.48,74.35,81,0,1.68,IN,1588727188
445,havelock,34.88,-76.9,64.4,77,75,11.41,US,1588727188
446,batticaloa,7.71,81.69,83.16,80,5,6.33,LK,1588727188
447,comodoro rivadavia,-45.87,-67.5,48.2,66,0,8.05,AR,1588727188
448,yuksekova,37.57,44.29,50.0,93,40,4.7,TR,1588727189
449,rajpipla,21.87,73.5,80.71,67,0,2.98,IN,1588727189
450,taltal,-25.4,-70.48,59.47,75,2,3.51,CL,1588727189
451,hamilton,39.18,-84.53,50.0,70,90,8.05,US,1588727189
452,soe,-9.86,124.28,75.65,82,55,5.64,ID,1588727189
453,guerrero negro,27.98,-114.06,71.73,61,0,18.3,MX,1588727189
454,sistranda,63.73,8.83,42.8,87,75,23.04,NO,1588727189
455,ulladulla,-35.35,150.47,66.99,55,71,12.75,AU,1588727189
456,kenora,49.82,-94.43,57.2,28,40,9.17,CA,1588727190
457,necochea,-38.55,-58.74,53.01,68,12,20.0,AR,1588726959
458,maravilha,-26.76,-53.17,63.0,81,93,1.3,BR,1588727190
459,maun,-19.98,23.42,60.8,48,0,5.82,BW,1588727190
460,zemen,42.48,22.75,57.0,71,75,2.24,BG,1588727069
461,tecoanapa,16.52,-98.75,79.9,75,100,6.91,MX,1588727190
462,goderich,43.75,-81.72,48.99,68,100,1.99,CA,1588727190
463,harindanga,22.04,88.32,68.0,94,90,5.82,IN,1588727190
464,huarmey,-10.07,-78.15,68.13,82,100,6.31,PE,1588727191
465,baghdad,33.34,44.4,73.4,43,75,29.97,IQ,1588727024
466,ryotsu,38.08,138.43,59.0,72,100,1.12,JP,1588726935
467,kormilovka,55.0,74.1,46.4,52,100,4.47,RU,1588727191
468,puerto montt,-41.47,-72.94,42.8,100,0,4.7,CL,1588727121
469,yeppoon,-23.13,150.73,75.2,53,18,13.87,AU,1588727164
470,kholm,59.27,32.85,48.63,88,100,7.56,RU,1588727192
471,verkhnyaya inta,65.98,60.31,32.97,95,100,11.7,RU,1588727192
472,okhotsk,59.38,143.3,39.02,70,0,12.71,RU,1588727192
473,iquique,-20.22,-70.14,64.4,77,56,11.41,CL,1588727192
474,araouane,18.9,-3.53,87.49,12,59,6.24,ML,1588727192
475,leeton,-34.57,146.4,60.8,72,78,4.7,AU,1588726958
476,tirthahalli,13.7,75.23,73.08,94,6,2.73,IN,1588727192
477,simao,22.79,100.97,76.73,54,89,5.26,CN,1588727193
478,zavodoukovsk,56.5,66.55,51.91,54,0,10.74,RU,1588727193
479,flin flon,54.77,-101.86,45.14,58,0,7.34,CA,1588727193
480,muli,2.92,73.57,83.89,78,100,13.33,MV,1588727193
481,broome,42.25,-75.83,44.6,30,1,9.17,US,1588727193
482,doha,25.29,51.53,81.0,78,24,1.12,QA,1588727193
483,khed,17.72,73.38,76.82,86,0,1.63,IN,1588727193
484,lucea,18.45,-78.17,82.4,74,75,3.36,JM,1588727194
485,bajil,15.06,43.29,85.42,68,94,4.43,YE,1588727194
486,certeze,47.9,23.47,43.0,93,1,5.82,RO,1588727194
487,san policarpo,12.18,125.51,85.21,72,81,8.03,PH,1588727194
488,sakakah,29.97,40.21,64.4,48,0,17.22,SA,1588727194
489,dong hoi,17.48,106.6,87.57,64,13,4.47,VN,1588727194
490,derzhavinsk,51.1,66.32,48.2,52,47,7.65,KZ,1588727195
491,kirakira,-10.45,161.92,85.35,64,39,4.32,SB,1588727195
492,petatlan,17.52,-101.27,77.23,66,0,3.38,MX,1588727195
493,ulaangom,49.98,92.07,41.36,54,97,22.35,MN,1588727195
494,guatire,10.48,-66.54,75.99,49,98,2.57,VE,1588727195
495,katherine,-14.47,132.27,82.4,30,98,14.99,AU,1588727195
496,mill valley,37.91,-122.55,66.99,71,38,1.99,US,1588727165
497,kathmandu,27.72,85.32,57.2,100,20,3.56,NP,1588727107
498,inca,39.72,2.91,64.4,93,0,3.36,ES,1588727196
499,shediac,46.22,-64.54,35.01,96,90,16.11,CA,1588727196
500,makakilo city,21.35,-158.09,84.2,47,1,11.41,US,1588727196
501,alofi,-19.06,-169.92,86.0,58,40,5.82,NU,1588727196
502,pochutla,15.74,-96.47,84.99,70,100,6.04,MX,1588727196
503,ashqelon,31.67,34.57,63.0,79,1,1.01,IL,1588727196
504,borovoy,55.43,86.08,39.2,80,100,11.18,RU,1588727197
505,nuevitas,21.55,-77.26,77.9,85,14,8.7,CU,1588727163
506,golyshmanovo,56.4,68.37,51.42,53,0,11.92,RU,1588727197
507,akureyri,65.68,-18.09,41.0,60,0,18.34,IS,1588727197
508,cochrane,51.18,-114.47,59.0,26,20,16.11,CA,1588726935
509,olga,43.74,135.29,57.65,53,75,2.26,RU,1588727197
510,ati,13.22,18.34,83.95,15,77,9.01,TD,1588726925
